简介,面积
西城广安门 满五年税少 首付155万 南向,25.56
荣丰二期朝东复式 满五年唯一 视野好,30.56
荣丰2008 1室1厅 435万,31.62
天宁寺低总价一居室，公房税费少，有小区环境,35.73
西城区  广安门 荣丰2008   满五唯一   诚心出售,36.77
朝南一居室、小户型、总价低、装修好。板楼、不临街,40
二环里    总价低   户型好   位置佳,40.03
天坛南门，小区环境好，有电梯，南向一居，户型方正,40.39
五环内鲁谷商圈优质一居室，满五唯一税费少,40.47
满两年 精装修 楼龄新 业主诚心出售,40.62
房子是西罗园周边，低总价一居室，板楼，诚意出售,41.19
此房是南向一居室，户型方正，方便利用，采光充足,41.77
外交服务局单位房，单独小院管理好，满五年唯一,42.64
潘家园小区一居室 满五年公房 1998年建成 4平米卫生间,43.54
"南北西朝向,中间楼层，精装修，小户型",44.39
满五唯一 低楼层 南北通透 正规一居室,44.4
右内西街 2层朝南 精装修一居室,44.52
必看好房 中间层 正南向 业主诚意出售,44.8
环境优美，满五年唯一，采光好，交通方便,44.84
石佛营西里  中间楼层   满五年公房  建成年代1994年,44.9
房子的特点：满五年，1995年楼龄，婚房装修可拎包入住,44.96
首套群体 看过来 精装修 婚房公主房 中高楼层,46.12
青塔秀园 1室1厅 243万,46.39
亚运村商圈 慧忠里D区 一居室 满五年的公房 随时能看,46.48
瞰都国际  东向 观小区花园  水暖供暖,47.07
石佛营西里  精装南北一居   中间楼层  满五年,47.16
南北通透板楼低层满五年唯一装修好,47.3
月坛北街  两居室 满五年唯一  诚心出售,48.2
满五唯一适合贷款适合刚需客户的好房源,48.42
普天大院央产房  正规一居室 精装修,48.9
东城区东直门工体精装两居室 高楼层采光好,48.96
全明格局 采光好 低总价 精装修,48.97
东领鉴筑小区 2005年社区 封闭式管理 交通方便楼层好,49.31
天坛南门 低总价 小两居 精装修 交通便利 采光好,49.57
炫特嘉园一期 1室0厅 322万,49.66
非唯一公房 南向一居 有客厅 业主诚心出售,49.86
安慧里二区 1室2厅 389万,49.9
此房满五年，中间楼层三层，精装修，南向正规两居室,50.16
全南向一居室，满五年家庭一套住房，诚意出售,50.41
新街口  正规南向两居室 中间层  满五唯一,50.7
翠成馨园东向开间，位置好，楼层好。,50.91
中楼层，采光佳，一居，满二年，东南向,51.18
育新花园，南向一居，不临街，高楼层采光好,51.6
满五唯一商品房，低楼层，钥匙房，小区环境好,51.6
万泉精品南向大一居 楼层佳 税费少 楼下是校门口,51.7
教场口6号院 1室1厅 690万,51.96
2004年商品房 朝南向 诚心出售 看房随时,52.05
通州北苑  长城国际 满五唯一 有电梯 中高层 诚心,52.47
玉带河西街 2室1厅 260万,52.58
育新街纯南两居室 户型方正满五年唯一住房,52.62
安华里社区 2层2居室 南北通透 满五年唯一,52.81
西便门内大街97号院 2室1厅 520万,52.88
运河CBD  出门公园 业主诚心出售户型方正无浪费,53.04
公园旁 公房社区 总价低 税费少,53.04
德胜优质全南两居 满五年唯一 诚心卖 随时签约,53.1
精品新推 惠新里军休所南北2居，中间层着急出售！,53.11
满五年商品房，南向，格局好，中间楼层,53.3
晨光小区 2室1厅 358万,53.63
2005年的商品房 朝东向一居，楼龄新，管理好,53.66
满两年的已购公房，中间楼层，东南向，采光充足,53.85
延静西里  2层南北通透两居   户型方正  不临街,54.04
马甸裕民路公安局宿舍中间层南北2居,54.11
模式口南里 2室1厅 245万,54.38
标准一室一厅，次顶层，采光好，使用面积大,54.57
蒲黄榆四里 2室1厅 340万,54.6
朝南一居，有大阳台，楼层适中，不临街！,54.77
满两年东南一居室 原值215万 诚意出售,55.06
太平桥小区，东南精品两居，诚心出售,55.3
满五年唯一 南北通透 中间楼层 前后无遮挡  诚意出售,55.5
长椿街牛街，南北通透板楼，楼龄新，有小区，满五唯一,55.74
西城南北两居室 看房随时 交通便利 成熟社区 配套全,55.82
蓟门东里 2室1厅 468万,56
模式口西里 2室1厅 240万,56.09
正规一居室，南北向，满五唯一，业主诚心出售，,56.19
财政部家属楼 满五唯一东南两居室 18年装修,56.32
南北通透户型，中间楼层，小三居户型,56.68
东城央产房 中间楼层 满五年 随时看随时签约,56.69
大石桥胡同29号院小三居，南北通透格局，视野宽阔,56.7
五道口清华主门门口西王庄小区 两居室诚意出售,56.8
东四环 首套首付145万，南北通透，3层，满五年唯一,56.88
电梯房   看房随时    房本五年且家庭名下唯一住房,56.94
经典户型 满五唯一 正对小区花园,57.35
南木樨园两居室、中间层、南北通透,57.38
满五年唯一 商品房 一层半 精装修 小区中间位置,57.6
朝阳公园 枣营南里 满五年免个税 诚意出售 高层观景,57.69
精装2居室，采光好 拎包入住 商五唯一 有儿童房,57.71
南北通透格局 采光充足 诚意出售 此房使用率高,58.05
店长推荐：满五唯一  卫生间有窗户 方正格局 不临街,58.08
满五年 南北通透 精装修 全总福利分房,58.3
双卧朝南，明厨明卫，优质小区环境,58.35
业主诚意出售 带电梯东向一居室 满五年唯一,58.53
双旗杆东里 2室1厅 760万,58.7
南庭新苑北区 2室1厅 330万,58.72
满五年唯一、全南两居，带电梯，中高楼层，户型方正,58.78
世纪村西区 南北两居 中间楼层 满五唯一 业主诚售,59.1
滨河西里 中间楼层两居室 南北通透 客厅明厅,59.15
松榆西里 南北两居 不临街 无遮挡 满五年 带租赁车位,59.21
精装小两居 好楼层近地铁 明厨明卫采光好,59.24
裕中低总价，三居室，满五年，随时看房,59.7
东向一居，视野开阔，可远眺CBD，满五年唯一,59.73
建材城东一里，南北通透精装修两居室,59.91
艺苑西街9号院 2室1厅 260万,60.09
裕中小3居 满五年公房 格局好,60.1
"钢混带电梯,房子全南向,可以直接拎包入住",60.3
本房全南向的2居，满5年，541印钞厂的宿舍,60.37
南北通透 小三居室 满五年唯一,60.6
颐慧佳园 带燃气 有电梯 安静 采光佳,60.62
万寿路18号院 2室1厅 528万,60.8
朝阳区委家属楼非顶层，明厨明卫南北2居，楼道无广告,60.85
南北板楼小两居，居家自住很舒适，首付200万住怡海,61.21
东王庄 2室1厅 480万,61.3
华严北里中科院 2室1厅 505万,61.32
四环内 精装修 楼层好 正规两居室,61.5
南向两居室，精装修，业主诚意出售,61.89
满五年公房 房子在一层半 南北通透正规客厅,61.92
此房满五年 中间楼层无遮挡 采光好,61.97
林业局家属院满五年公房南北通透两居,61.98
模式口西里 2室1厅 249万,62.34
紫竹桥 满五年唯一 地铁300米 不临街 高层电梯房,62.9
白家庄东里 轻工设计院家属楼 采光充足、视野开阔,62.99
东城 带电梯两居室 精装修  高楼层 采光好 视野好,63.05
京通苑婚房一居 业主诚心出售 看房方便,63.36
朝阳区，东二环外，农丰里精装修南北通透正规两居室,63.93
美然绿色家园一层小三居 南北通透,64.27
东南金角，满五年公房，采光好，中间楼层，空户口,64.3
和平里东城精装满二公房，93年钢混，电梯直达，不挑户,64.32
学院南路32号院 2室1厅 510万,64.9
纯南向一居室 户型方正 诚心出售,64.94
永乐东区 2室1厅 319万,65.08
澳洲康都，精装一居，拎包入住，免个税，诚意出售,65.27
四期正规一居室，满五年唯一，中间层，正对北辰公园,65.45
店长推荐 满五年公房 带电梯大客厅 次顶层 南中轴路边,65.88
矩阵满北通透两居室，户型方正。,66.21
六合园 2室1厅 325万,66.38
东平里 2室1厅 251万,66.59
满五唯一 非顶层 自住装修 南北通透,66.71
正规精装两居室，中石化管理，中间楼层,66.77
长椿街   南北三居  临近2号线  低楼层 适合老人,67.07
西南北正规三居室，视野开阔，格局方方正正,67.15
满五年唯一 电梯南北2居室 小区中间位置,67.27
南北通透，前后无遮挡采光充足，满五唯一。,67.3
马家堡大红门出行方便 楼层低 看房方便 好房快看,67.31
安翔里小区 3室1厅 490万,67.77
首套首付95万 中间楼层 前后双阳台 客厅带边窗的户型,68.19
精装修 低楼层 满五唯一 户型方正 诚心出售,68.34
此房为满五年，东南向两居室，带电梯,68.41
中间层满五年三居南北向德外公房,68.6
店长推荐：采光充足，没有遮挡，中间楼层,68.65
★四环内 南北通透 两居室 低楼层 带电梯 近地铁★,68.72
1995年小区，南北两居室，中间楼层，满五年公房,69.09
清河宝盛里 南北通透 精致装修 拎包入住 看房方便,69.35
南三环中路 3室1厅 378万,69.4
东城区 南北三居 高层无遮挡 诚心出售,69.45
安贞里 电梯房 双南两居 大客厅 精装修 拎包入住,69.84
东城东直门 南北通透三居室 带客厅,69.86
楼龄新，单价低，田字格户型，优质三居室,70.21
慧华苑双南向两居室，楼层低、装修好、位置佳,70.27
双榆树东里 新上好房 小区中间位置 采光通风好,70.3
此房源属于满五年的公房，南北通透，明厨明卫,70.66
满五唯一 精装修 西南2居 业主诚意出售,70.81
满五唯一商品房，精装修，中间层采光好！,71.15
文林大厦 2室1厅 530万,71.61
空港吉祥花园 2室1厅 368万,71.75
车公庄北里   南北三居室  中间楼层  独立小院,72.6
满五年唯一，中楼层视野采光好带电梯两居室,72.75
商品房满五年+2居室+霍营地铁,73.69
正规两居室，成本价，封闭管理小区，刷卡入楼层,73.7
志新村 2室1厅 532万,73.8
育芳园设计院单独管理小区 南北通透 不临街,73.92
马家堡 西马金润  精装商品房 诚心出售,73.95
东大街东里 3室1厅 415万,74.26
北影小区 板楼中低层 南北通透 方正三居 公房性质,74.8
双桥五号井 满五唯一  南北两居,74.83
满五唯一商品房，中高楼层，采光充足，视野好,75
望春园中间楼，紧邻花园水系，自住精装修,75.73
桃园小区 2室1厅 218万,75.93
太月园 1室1厅 570万,75.95
花家地南北通透三居室诚心出售 看房随时,76.01
南北通透两居室 中高楼层 业主诚心出售,76.53
广安﹒康馨家园 2室1厅 368万,76.7
北店嘉园 钢筋混凝土 南北朝向,77
品质小区，精装30万，西南两居室，视野好，没个税。,77.09
草桥欣园四区南北向两居 满五年唯一,77.37
沁春家园 2003年海淀花园社区 满五年无二套 楼层好,77.42
精装修电梯房 高楼层采光好，满五年唯一,78.13
西城区 二环内 带电梯 三居室,78.4
国展新座小两居，满五年业主在京唯一住宅，低总价。,78.92
金丰园 2室1厅 415万,79.83
紫金新干线 2室1厅 415万,79.84
2010年电梯新小区，南向两居，满五唯一，户型方正,79.98
太极小区南北通透有电梯三居室 满五年唯一,80.1
金蝉南里 户型方正两居 明厨明卫 楼层好采光无遮挡,80.47
南二环边新小区 有钥匙随时看 精装修 地铁交汇,80.55
南北通透 板楼 集中供暖 三房朝南,80.75
东南小区精装修三居室看房方便诚售,80.8
塔院小区正规三居室，方正客厅，3/6层，诚意出售,80.97
满五唯一，精装修，采光好，看房方便,81.11
正规2居 双阳台 总价低 交通便利 购物方便,81.92
满五唯一，精装修，南北户型，卧室一南一北,81.95
珠江罗马嘉园 婚房两居 低总价 近地铁,82.14
南北通透的三居室，全明格局，板楼中间层，大阳台，,82.66
精装婚房 低楼层 满五唯一 明厨明卫 楼位置好,83.57
梧桐人家 2室1厅 450万,83.92
华威西里 三环内 满五年商品房 近地铁 中高楼层,84.21
东南向精装婚房，高视野自住房！,84.59
通州新潮嘉园南北通透双卫两居室 满五唯一住房,84.83
南北通透板楼 中间楼层 户型好 没有浪费面积,84.97
京贸国际城西区 2室1厅 475万,85.25
航天部央产房   满五年唯一  全明格局,85.5
苹果园小区二区 3室1厅 378万,85.73
南北通透 近地铁 前后不临街 户型方正,86.03
满五唯一，16年精装，无遮挡，不临街，有车位,86.23
有钥匙诚意出售，楼层合适，电梯房，封闭社区，仅契税,86.23
诚心出售 看房方便 交通便利 配套齐全,86.24
西直门南大街 3室1厅 890万,86.7
澳洲康都+精装修+南向+看公园全景+钥匙房源+诚心出售,86.8
澳洲康都+精装修+南向+看公园全景+钥匙房源+诚心出售,86.8
满五年唯一商品房 南北通透 税费少 出门宋家庄地铁口,87.2
一层带小院两居室 全明格局 户型方正 南北通透,87.45
金台北街  南北三居室 光线充足,87.46
新上两居，户型方正全明格局，满五唯一,87.84
满五年名下唯一住房，采光视野好 南北通透 精装,88.07
润景公馆 2室1厅 340万,88.17
育新花园 3室2厅 680万,88.4
建邦枫景 3室2厅 458万,88.61
南北两居室，可转商中间楼层，前面无遮挡,88.68
正规小三居，南北通透，全明格局，高层观景,88.75
高层满五唯一南北三居室 2012年开盘精装修,89.04
四环旁 2011年建成 花园社区 可贷款303万 配套齐全,89.12
旗胜家园全南两居室，采光充足，户型方正,89.23
安定门 西南朝向两居室  交通便利,89.31
南北双通透，低楼层，精装修，房子靠谱出售，看房随时,89.55
京棉新城二厂正规两居室户型方正,89.57
中楼层，南北通透两居室，低总价。,89.58
全南高层采光好 视野没遮挡 满五唯一,89.68
首开智慧社 商品房 两居室 有电梯,89.69
观景园 2室1厅 660万,90.51
地铁6号线褡裢坡 南向正规两居 06年电梯房 满五唯一,91.55
花乡银地家园南北向两居 满五年唯一  明厨明卫 不临街,91.61
重兴园 南北通透两居室 采光好，楼层佳！,92.02
金顶街五区 2室1厅 465万,93.22
珠江拉维小镇 2室1厅 418万,93.52
瑞都公园世家南区 明厨明卫 户型方正,94.38
京贸国际城西区 2室1厅 535万,94.87
经典三居户型，业主配合满五唯一过户，小区环境优美,96.14
珠江绿洲南北两居，满五年唯一，业主诚心出售看房方便,97.38
天宁寺前街南里  南北通透三居室,97.55
西二旗 博雅德园 南北向 两居室 中间楼层 无遮挡,97.63
新兴年代 2室1厅 830万,97.98
龙跃苑四区 精装修两居 商品房满五年且家庭唯一,99.27
满五唯一 精装修 业主自住 诚心出售,99.85
南北格局房源 不临街 采光充足 无遮挡,99.87
新龙城电梯两居满五年唯一精装拎包入住付款快价格可谈,100.42
兆丰园 两居室 西南朝向 户型方正 大客厅,100.59
全明格局，南北通透，中间楼层，仅契税,101.15
国家气象局 央产大院四居室 东南北三面采光,101.96
西三环 昆玉河畔 南北向两居室 园区中间位置 两梯四户,102.15
天通苑中苑 2室1厅 427万,102.27
高楼层视野棒，直观三个花园，方正两居室,102.39
苏荷时代 3室2厅1厨1卫 明卫 满二年 原值315万,102.46
朝南大阳台双主卧看小区花园，公园旁优质三居室,102.62
二期高层两居 全南视野采光好 玉石精装 税费少,103.37
房子满五年楼层适中，采光好   价格可以聊,103.49
远洋山水 西南双卫两居 自住精装房急售,104.63
马家堡  2010年上海建筑 人车分流小区,105.59
九龙花园 二居室 满五唯一 599万 商品房,107.03
美丽园小区，南北通透优质2居室，中间楼层，无遮挡,107.35
明厨明卫，干湿分离，户型方正，精装修,108.35
南北通透两居+中低楼层+自住装修+满五唯一,109.82
海淀优质三居双卫  两个卧室客厅南向  温馨精装,112.52
龙锦苑六区中间楼层商品房满五年，家庭无其他房子,114.71
宏盛家园，满五唯一，二层，随时看房随时签约,115.31
板楼南北通透，两梯四户，前后对花园，安静不临街！,118.62
二次精装修 满二年原值高 采光视野非常棒,119.6
三环新城8号院 3室1厅 636万,120.11
小区中间位置，商品房，三居两卫，采光好，靠谱出售,120.34
靓景明居 南北通透 三居室 电梯房 小区中间位置,121.6
万科纯新房南北三居 全明格局 诚心出售 随时可看,122
芍药居甲2号院 霸气3居 全朝南 位置安静 三个阳台,122.19
龙锦苑东一区 3室2厅 485万,124.02
龙锦苑东一区 3室1厅 480万,124.05
和谐家园3居室2卫生间 采光好 视野好,124.75
朝阳公园南门，金台路口，南北复式，业主诚售,125.09
西引力 3室1厅 657万,126.41
商品房满五年唯一，仅有契税，中间楼层无遮挡,127.38
丽景长安 3室1厅 615万,129.7
花溪渡 双卧朝南 全明户型 前后花园 拎包入住,131.42
金融街 精装修 西南向无遮挡，业主诚意出售,133.08
筑华年南北三居室 中间层精装空置 拎包入住,133.41
满五唯一 小区中间 前后花园 南北通透  眼镜户型,134.15
满五唯一三居室客厅双卧朝南主卧带独卫,140.62
东一区一层三居 南边有花园 商满五唯一 业主诚心出售,140.69
全明格局，双卫，层高高，空间感强，不压抑，安静不吵,141.35
新上精装三居室，楼层高，视野棒，带直通地下车位,143.69
国瑞城西区 2室2厅 850万,143.71
瑞都南区 人车分流 三居 客厅和2个卧室朝阳,143.93
经典的三居，视野特别的好，满五年名下首套住宅,144.76
原值高，税费少，安静不临街，明厨明卫，南北通透,145.26
四期东南三居，正对花园，满五年唯一！,147.32
阿曼寓所 南北通透复式 看房随时 户型好 满五唯一,175.1
